year,month,day,hour,minute,second,HR,HR_conf,Activity,walk_stp,run_stp,scd,r,Unnamed: 8
2025,2,21,11,32,31,1240,75,0,569,0,3,584,
2025,2,21,11,32,32,1230,25,1,569,0,3,584,
2025,2,21,11,32,32,1230,75,0,569,0,3,584,
2025,2,21,11,32,33,1230,75,0,569,0,3,584,
2025,2,21,11,32,34,1230,75,0,569,0,3,584,
2025,2,21,11,32,35,1230,25,1,569,0,3,584,
2025,2,21,11,32,36,1240,25,1,569,0,3,584,
2025,2,21,11,32,37,1240,25,1,569,0,3,584,
2025,2,21,11,32,38,1240,25,1,569,0,3,584,
2025,2,21,11,32,39,1250,75,0,569,0,3,584,
2025,2,21,11,32,40,1250,25,1,569,0,3,638,
2025,2,21,11,32,41,1250,50,1,569,0,3,638,
2025,2,21,11,32,42,1250,50,1,569,0,3,638,
2025,2,21,11,32,43,1260,50,1,569,0,3,638,
2025,2,21,11,32,44,1260,50,1,569,0,3,638,
2025,2,21,11,32,45,1260,50,0,569,0,3,638,
2025,2,21,11,32,46,1250,50,0,569,0,3,638,
2025,2,21,11,32,47,1250,50,0,569,0,3,638,
2025,2,21,11,32,48,1250,50,0,569,0,3,638,
2025,2,21,11,32,49,1250,50,0,569,0,3,638,
2025,2,21,11,32,50,1250,50,0,569,0,3,632,
2025,2,21,11,32,51,1250,75,0,569,0,3,622,
2025,2,21,11,32,52,1260,75,0,569,0,3,614,
2025,2,21,11,32,53,1260,75,0,569,0,3,614,
2025,2,21,11,32,54,1260,75,0,569,0,3,614,
2025,2,21,11,32,55,1270,75,0,569,0,3,614,
2025,2,21,11,32,56,1280,75,0,569,0,3,614,
2025,2,21,11,32,57,1280,75,0,569,0,3,614,
2025,2,21,11,32,58,1290,75,0,569,0,3,600,
2025,2,21,11,32,59,1290,75,0,569,0,3,600,
2025,2,21,11,33,0,1300,75,0,569,0,3,600,
2025,2,21,11,33,1,1300,75,1,569,0,3,600,
2025,2,21,11,33,2,1300,75,1,569,0,3,600,
2025,2,21,11,33,3,1300,75,0,569,0,3,600,
2025,2,21,11,33,4,1300,75,0,569,0,3,600,
2025,2,21,11,33,5,1300,75,0,569,0,3,600,
2025,2,21,11,33,6,1300,50,0,569,0,3,600,
2025,2,21,11,33,7,1300,75,0,569,0,3,600,
2025,2,21,11,33,8,1310,75,0,569,0,3,600,
2025,2,21,11,33,9,1310,75,0,569,0,3,600,
2025,2,21,11,33,10,1300,75,0,569,0,3,600,
2025,2,21,11,33,11,1300,100,0,569,0,3,600,
2025,2,21,11,33,12,1290,75,0,569,0,3,600,
2025,2,21,11,33,13,1280,100,0,569,0,3,600,
2025,2,21,11,33,14,1270,100,0,569,0,3,598,
2025,2,21,11,33,15,1260,100,0,569,0,3,598,
2025,2,21,11,33,16,1240,100,0,569,0,3,598,
2025,2,21,11,33,17,1230,100,0,569,0,3,598,
2025,2,21,11,33,18,1220,100,0,569,0,3,597,
2025,2,21,11,33,19,1220,100,0,569,0,3,596,
2025,2,21,11,33,20,1210,100,0,569,0,3,595,
2025,2,21,11,33,21,1210,100,0,569,0,3,595,
2025,2,21,11,33,22,1200,100,0,569,0,3,595,
2025,2,21,11,33,23,1190,100,0,569,0,3,595,
