0 SpO2 Coeff  0 0 0 0  FFD7FBDD  0AB61FE
Ver: 0 33 12 0
rd algo size: 1 33 
rd algo size: 1 33 
rd algo size: 1 33 
rd algo size: 1 33 
sens+algo 
1.2 Status: 0
1.5 Status: 0
1.6 Status: 0
1.7 Status: 0
1.8 Status: 0
map leds to slots 0
map HR to slots/PDs 0
map SpO2 to slots/PDs 0
1.14 status: 0
1.31 part id afe 0 25
1.32 who accel 0 1b
ppg1,ppg2,ppg3,ppg4,x,y,z,hr,hr_conf,spo2,spo2_conf,spo2_lo,spo2_unrel,scd,
164438,16233,421517,436691,-18,-248,978,680,100,0,0,0,0,3,
164534,16243,421626,436869,-19,-248,979,680,100,0,0,0,0,3,
164644,16259,421707,437070,-17,-249,978,690,100,0,0,0,0,3,
164787,16273,421828,437302,-18,-249,979,690,100,0,0,0,0,3,
164946,16290,421988,437529,-19,-249,978,690,100,0,0,0,0,3,
165131,16306,422125,437759,-18,-248,978,690,100,0,0,0,0,3,
165299,16311,422255,437962,-17,-248,978,690,100,0,0,0,0,3,
165441,16327,422353,438124,-18,-248,979,700,100,0,0,0,0,3,
165479,16332,422316,438189,-17,-248,978,700,100,0,0,0,0,3,
165575,16352,422353,438334,-19,-248,979,700,100,0,0,0,0,3,
165785,16367,422546,438608,-18,-248,979,700,100,0,0,0,0,3,
165935,16385,422644,438792,-18,-249,980,700,100,0,0,0,0,3,
165888,16376,422349,438421,-19,-247,978,700,100,0,0,0,0,3,
165096,16271,421320,436915,-18,-248,978,700,100,0,0,0,0,3,
164242,16186,420664,435898,-18,-246,979,700,100,0,0,0,0,3,
163935,16179,420504,435678,-17,-247,979,700,100,0,0,0,0,3,
163921,16191,420534,435746,-19,-248,979,700,100,0,0,0,0,3,
163870,16197,420474,435745,-16,-248,980,710,100,0,0,0,0,3,
163958,16214,420599,435996,-15,-247,978,710,100,0,0,0,0,3,
164048,16227,420646,436183,-16,-247,978,710,100,0,0,0,0,3,
164060,16220,420593,436172,-20,-247,979,710,100,0,0,0,0,3,
164053,16218,420599,436210,-16,-248,979,710,100,0,0,0,0,3,
164097,16230,420652,436331,-18,-248,979,720,100,0,0,0,0,3,
164173,16243,420729,436519,-18,-247,979,720,100,0,0,0,0,3,
